[0.08616334236229209, 0.6897025280346257, 0.23596907860645103, 0.7]	0.9754	0.9807	0.9831	0.9875	0.9884	0.9891	0.9889	0.9893	0.9888	0.9903	
[0.05968500961474923, 0.9, 0.6179274799614228, 0.3266888390373853]	0.9810	0.9856	0.9885	0.9894	0.9912	0.9901	0.9918	0.9906	0.9910	0.9923	
[0.06622366382947026, 0.9, 0.3190820041559385, 0.260552018287805]	0.9860	0.9869	0.9896	0.9915	0.9920	0.9915	0.9907	0.9905	0.9908	0.9917	
[0.001, 0.8572755083838969, 0.5298253413231804, 0.2956104268208918]	0.9030	0.9227	0.9325	0.9401	0.9463	0.9541	0.9578	0.9624	0.9652	0.9682	
[0.030223218977296365, 0.6436417837692444, 0.7, 0.5022882575858244]	0.9633	0.9775	0.9815	0.9835	0.9839	0.9862	0.9866	0.9884	0.9876	0.9872	
[0.1, 0.771840128521578, 0.5170391512306375, 0.7]	0.9790	0.9788	0.9855	0.9872	0.9882	0.9891	0.9883	0.9888	0.9900	0.9906	
[0.001, 0.7879302448168224, 0.5698193953420263, 0.45339989583475226]	0.8866	0.9113	0.9271	0.9349	0.9424	0.9489	0.9522	0.9565	0.9594	0.9614	
[0.043981157789426156, 0.7174085802805584, 0.6606705557521482, 0.6329508668959408]	0.9703	0.9809	0.9814	0.9844	0.9840	0.9854	0.9875	0.9870	0.9868	0.9880	
[0.1, 0.6, 0.35229172260703334, 0.7]	0.9756	0.9778	0.9855	0.9857	0.9866	0.9859	0.9875	0.9877	0.9892	0.9895	
[0.001, 0.7056214650949058, 0.5365386927140363, 0.6213184085898638]	0.8175	0.8802	0.9008	0.9126	0.9215	0.9260	0.9310	0.9358	0.9403	0.9442	
[0.08009101021368699, 0.67975266636336, 0.24049355996377525, 0.599650974359014]	0.9782	0.9849	0.9858	0.9876	0.9896	0.9902	0.9896	0.9882	0.9903	0.9905	
[0.07683998613697254, 0.616048039707893, 0.2633916598091653, 0.6518611563269927]	0.9776	0.9828	0.9856	0.9864	0.9874	0.9890	0.9910	0.9908	0.9904	0.9909	
[0.01912071686906963, 0.7571922240406539, 0.7, 0.47954913834251256]	0.9636	0.9741	0.9792	0.9831	0.9860	0.9866	0.9868	0.9883	0.9876	0.9885	
[0.030258241537280295, 0.8003570316945826, 0.6906060838804202, 0.3879711410469711]	0.9758	0.9823	0.9852	0.9862	0.9880	0.9878	0.9886	0.9905	0.9900	0.9915	
[0.04441813186081091, 0.6304516635305054, 0.5765006056875024, 0.6362542896560087]	0.9695	0.9792	0.9823	0.9846	0.9855	0.9872	0.9879	0.9872	0.9873	0.9884	
[0.1, 0.645009117028375, 0.5372864484227945, 0.2]	0.9814	0.9858	0.9899	0.9884	0.9913	0.9902	0.9910	0.9908	0.9921	0.9907	
[0.057204779237508774, 0.6896111369132996, 0.4198223054409027, 0.4458736479282379]	0.9786	0.9851	0.9869	0.9872	0.9884	0.9883	0.9889	0.9888	0.9901	0.9894	
[0.003727239964398038, 0.6203251503203259, 0.378022444106395, 0.7]	0.9024	0.9291	0.9422	0.9496	0.9551	0.9605	0.9640	0.9666	0.9691	0.9703	
[0.001, 0.6, 0.6010006449260409, 0.6099561926582862]	0.7910	0.8643	0.8878	0.9019	0.9129	0.9211	0.9256	0.9296	0.9341	0.9384	
[0.0014054573588443788, 0.7626147674072041, 0.5046012718348908, 0.20986612337760024]	0.8982	0.9173	0.9286	0.9385	0.9444	0.9492	0.9536	0.9590	0.9625	0.9651	
[0.009301989496908953, 0.9, 0.2, 0.6834157944750799]	0.9643	0.9782	0.9829	0.9833	0.9851	0.9877	0.9874	0.9882	0.9878	0.9883	
[0.021251467987895012, 0.631933331489563, 0.36279234290122986, 0.21233810484409332]	0.9631	0.9789	0.9822	0.9854	0.9863	0.9866	0.9884	0.9892	0.9902	0.9892	
[0.07631454172504369, 0.9, 0.2, 0.2]	0.9866	0.9874	0.9889	0.9890	0.9905	0.9888	0.9893	0.9905	0.9892	0.9887	
[0.08753232051530678, 0.6, 0.5647533004622719, 0.34814585251577007]	0.9781	0.9852	0.9873	0.9870	0.9882	0.9881	0.9895	0.9906	0.9900	0.9907	
[0.09648694097995758, 0.8429437875747681, 0.6970072984695435, 0.498183012008667]	0.9771	0.9814	0.9859	0.9874	0.9877	0.9862	0.9882	0.9887	0.9895	0.9900	
[0.0038875767780312096, 0.9, 0.236263488239977, 0.44370252306158264]	0.9505	0.9688	0.9771	0.9799	0.9819	0.9841	0.9847	0.9860	0.9868	0.9875	
[0.1, 0.8966578334416639, 0.24720402480427725, 0.5670742085498912]	0.9806	0.9849	0.9862	0.9900	0.9876	0.9881	0.9876	0.9861	0.9902	0.9899	
[0.06154865077287322, 0.7517937641277912, 0.368469178605248, 0.6893960902162368]	0.9751	0.9827	0.9859	0.9874	0.9871	0.9883	0.9875	0.9887	0.9896	0.9906	
[0.08826531050072486, 0.7317417441933887, 0.4267743310199853, 0.7]	0.9776	0.9834	0.9865	0.9868	0.9880	0.9882	0.9884	0.9896	0.9899	0.9896	
[0.0702342398283568, 0.6172196372639763, 0.38431970864470894, 0.20776327310165482]	0.9791	0.9849	0.9880	0.9891	0.9895	0.9901	0.9897	0.9913	0.9911	0.9904	
